Company name;Postcode;Primary UK SIC (2007) code;Website;Secondary UK SIC (2007) codes
HYPE MEDIA HOUSE LIMITED;EH2 3JG;70210;;"70210
73110
73120"
JS MEDIA CORPORATION LIMITED;EH2 4JN;73110;;"58190
59111
73110"
OOT N ABOOT LTD.;EH11 2PS;58190;;"58190
73110"
INK LABS STUDIOS LTD;EH15 2AD;73110;;73110
PERFORMANTE LIMITED;EH6 5GD;73110;;73110
MCKENZIE MARKETING SOLUTIONS LTD;EH41 4NX;73110;;73110
THE MODERATI LTD;EH1 1DD;73110;;73110
DESTINATION CREATIVE BRAND COMMUNICATION LTD;EH6 6LU;73120;;73120
GANGHUT LIMITED;EH10 4HJ;73120;;73120
D2 COLLECTIVE LTD;EH2 3JZ;73110;;73110
EAST LOTHIAN LADIES LTD;EH32 0PL;73120;;73120
RED UNIT LTD;EH14 1DJ;73120;;"73120
74100"
LOCAL LINK MEDIA LTD;EH10 5NE;73110;;73110
MEDIACLAN EUROPE LTD;EH2 2AZ;62012;;"62012
62090
73110
73120"
HAVERIN' MEDIA LTD;EH20 9LF;73120;;73120
AMGB DIGITAL LTD;EH4 2BP;73120;;73120
CARRINGTON MEDIA LIMITED;EH23 4LR;73120;;73120
MY BUSINESS BOOST LIMITED;EH4 1SU;73110;;73110
LOCH LOMOND MEDIA LTD;EH24AT;59112;;"59112
73110
74202"
SLAVIA GURU LTD;EH2 3JG;58190;;"47910
58190
63120
73110"
APPLECROSS INVESTMENTS LTD;EH3 7AF;73110;;73110
HIGH TIDE STUDIO LTD;EH3 9FN;73110;;"73110
74202
74209"
THE WHIN MARKETING COMPANY LTD;EH9 1JT;63120;;"63120
73110"
LIFE AID DEFIBRILLATORS UK LIMITED;EH6 7BD;73110;;"73110
86900"
PREMIER ADVERTS MARKETING LIMITED;EH4 4RU;73110;;73110
VIRTUALLY EFFECTIVE LTD;EH6 7BD;73110;;"73110
73200
82200
82990"
KERMANI MEDIA LIMITED;EH3 9JZ;73110;;73110
OUTLAW CREATIVE LTD;EH22 2GR;73110;;73110
APEX BIOENERGY LIMITED;EH1 3QB;9900;;"09900
52290
70229
73110"
ADTREND LTD;EH3 6QU;73110;;73110
REASONS Y LIMITED;EH7 5AH;73120;;"73120
82990"
EURUS DG LTD;EH45 9ET;47910;;"47910
73110"
NEVERMORE AGENCY LTD;EH6 6NF;18129;www.nevermoreagency.co.uk;"18129
73110
74100"
KH3D LTD;EH12 8YN;73110;;73110
HIAMOVI LTD;EH6 7BD;73110;;73110
BIG BOLD LEAP LTD;EH9 1PL;70229;;"70229
73120
74909"
MAC MEDIA LTD;EH17 7RZ;73120;;73120
ALTER SEA LTD;EH5 2GB;62011;;"62011
62012
73110"
LETTING CLOUD LIMITED;EH2 3JG;63110;;"63110
63120
73120"
MAKING IDEAS WORK GROUP LIMITED;EH12 6HT;73110;;73110
TOTAL BRAND EXPERIENCE BY EWA MOCHA LTD.;EH2 3JG;73110;;"73110
74100
90030"
ORANGE IVY LTD;EH6 6SE;70210;;"70210
70229
73120
82990"
TOM MARTIN STUDIO LIMITED;EH12 8RN;73120;;73120
FANCY HATS LTD;EH6 4JP;73120;;73120
TREADWAY SPORTS LTD.;EH6 5SE;73110;;"73110
74100"
HERMITAGE BRAE MEDIA LIMITED;EH3 8EG;73120;;73120
CL BRAND CONSULTING LTD;EH7 4HG;73110;;73110
MAINS DIGITAL LTD;EH9 2NN;73110;;73110
TRANSCEND COMMUNICATIONS LIMITED;EH39 5PX;70210;;"70210
73110"
RAY MAYS LTD;EH21 6JP;70229;;"70229
73110"
SOLVE MEDIA LTD;EH2 1EN;73110;;"73110
74100"
EGOLI AGENCY LTD;EH22 2ED;73110;;73110
ATTIC RUSH LIMITED;EH26 0ES;73110;;73110
GALVANIZE MARKETING LTD;EH2 1EN;73110;;73110
CLAIRE WATSON CREATIVE LTD;EH1 2EL;73110;;73110
NORTH EDINBURGH SOCIAL C.I.C.;EH5 2EA;73110;;73110
MOD DIGITAL LIMITED;EH3 6RE;73110;;"73110
74100
82990"
ROCKET GLOBAL MARKETING LTD;EH14 1DJ;47910;;"47910
73120
74300
82990"
WE ARE RATIONALE LTD;EH152QD;70229;;"70229
73110"
ZENITH ENERGY ENGINEERING LIMITED;EH14 1DJ;39000;;"39000
63110
69201
73110"
ISTAC LIMITED;EH3 6AT;43390;;"43390
46130
46470
73110"
LE CUCU LTD;EH9 1JT;73110;;"73110
73120"
DYNAMIC WAY LTD;EH2 3JG;47910;;"47910
73110
74909"
HIHELLOVIDEO LTD;EH5 2FF;73120;;73120
IT IS TIME SCOTLAND LTD;EH9 3AA;73110;;73110
ADVENTURE EVERYTHING LTD;EH15 3AS;59112;;"59112
73110"
CHERRY MARKETING SOLUTIONS LTD;EH7 4DL;46190;;"46190
47910
70210
73110"
METIS STUDIO LTD;EH6 5NP;70229;;"70229
73110
90030"
DIGI KNOW HOW LTD;EH48 4HY;62020;;"62020
62090
73120"
YOUR LOCAL WEST LOTHIAN LTD;EH48 4HY;62020;;"62020
62090
73120"
YOUR LOCAL SCOTLAND LTD;EH48 4HY;62020;;"62020
62090
73120"
INSPIRED EDINBURGH LTD;EH12 5DD;59112;;"59112
60200
73110"
NCA SOLUTIONS LIMITED;EH7 5UB;73110;;73110
REALORFAKEOFFICIAL LTD;EH9 1UH;62090;;"62090
73110
90030"
STUDIO DUMPLING LTD;EH9 1JA;73110;;73110
SMANS MARKETING CONSULTANCY LTD;EH14 7NB;73110;;73110
SHARP COOKIE MEDIA LTD;EH2 1EN;73110;;73110
GEN HOLDCO LTD;EH3 7BD;63120;;"63120
73110"
PRECISION GHOST DESIGNS LTD;EH10 5RN;73120;;73120
CONVERSE AGENCY LTD;EH4 1NS;73110;;73110
STRATUM CO. DESIGN LTD;EH9 1ND;73110;;"73110
73120
74209"
CONNECTOR 369 LTD;EH2 1EN;58190;;"58190
63120
70210
73110"
BLEEP DESIGN LIMITED;EH41 3DP;73110;;73110
DIGITAL AEGIS LTD;EH10 5DT;62020;;"62020
70229
73110"
TROVE LIFE LTD;EH9 2JG;73110;;73110
CALGARY WORKS LTD;EH8 8FS;73110;;73110
DF CONSULTANCY (EDINBURGH) LTD;EH1 3LH;62020;;"62020
73110"
WARRAW CONSULTING LTD;EH3 6RE;46900;;"46900
70229
73120
77291"
OXFORD DUN INTERNATIONAL BLOODSTOCK LIMITED;EH3 6RE;46110;;"46110
73110
82990
93191"
AEONIAN MERCHANTS LTD;EH10 6XR;47990;;"47990
73110"
MESSRS. WHISKY & COMPANY LIMITED;EH3 6JD;56210;;"56210
70229
73120"
ONLY ONE LETTERBOX LIMITED;EH10 5NE;73110;;73110
SOCIALED LTD;EH4 4DN;62020;;"62020
73110"
LAURISTON CONSULTING LTD;EH30 9LB;73110;;"73110
73120"
EUROBEAT LTD;EH2 1EN;20530;;"20530
47750
63120
73110"
PEAR MARKETING SCOTLAND LIMITED;EH2 3BU;73110;;73110
BAJR LTD;EH41 3NP;73120;;73120
NIW PROMOTIONS LTD;EH2 2AF;73110;;73110
BLUE ROSE DIGITAL LTD;EH19 3RL;62020;;"62020
73110"
PATON CREATIVE LIMITED;EH7 5JT;59112;;"59112
59120
73110
74100"
MEADHANAN LIMITED;EH6 7BD;70210;;"70210
73110
73120"
EAT DRINK VEGAN LTD;EH3 6EZ;73110;;73110
GLOBALISATION SCOTLAND LTD;EH2 3JG;59131;;"59131
70229
73110
73120"
SEOALBA LTD;EH1 3EP;73110;;73110
291 MEDIA LIMITED;EH11 3UR;73120;;73120
KENNEDY BARNES THOMPSON LTD;EH7 5ED;73110;;73110
ECMPRO SERVICES LTD;EH3 6RE;73110;;"73110
82990
96090"
HELLENIC RADIO UK LIMITED;EH7 6LN;59200;;"59200
60100
60200
73110"
MERRY GO ROUND MERCHANT LTD;EH9 1LS;73110;;73110
VERIFIED TRADER LIMITED;EH2 3JG;73110;;73110
OCCASIONS FM LTD;EH14 3JJ;59112;;"59112
60100
73120
74203"
THE PRESS ACADEMY LTD;EH10 6EZ;63910;;"63910
73120
82990"
CARE ADVERTISING LIMITED;EH16 4WS;73110;;73110
BE INFLUENCED TO INFLUENCE LTD;EH54 6DT;73110;;73110
SCOTOFFERS LTD;EH22 2GE;73110;;73110
FINE MESS LTD;EH8 9PG;73110;;73110
A3L VIRTUAL ASSISTANTS LTD;EH3 6RE;69201;;"69201
70210
73120
74909"
LOVE EDINBURGH LTD;EH18 1DF;73120;;"73120
74209
79909
93290"
RYIFT LTD;EH3 6RE;73110;;73110
TACTIK LIMITED;EH29 9FB;73110;;73110
DIGITAL EDINBURGH LTD;EH3 6EZ;73110;;73110
NO COMMON BOY LTD;EH5 2GA;73110;;73110
MM INTERNET VENTURES LIMITED;EH54 6DR;73110;;73110
DIGITAL EDINBURGH SERVICE LTD;EH10 4HN;62090;;"62090
63120
73110"
REBATAX LIMITED;EH3 6RE;62090;;"62090
63110
73110
82990"
DEMONSLAYER LTD;EH52FE;73120;;73120
CROMIDA LIMITED;EH3 6RE;73110;;"73110
82990"
HISTORYTELLING LTD;EH9 2DZ;73110;;73110
RMH PRODUCTIONS LTD;EH20 9NX;59112;;"59112
73110"
GET AFTER IT LTD;EH10 4DQ;73120;;"73120
85510
93199"
A&L PARTNERS LTD;EH9 2DS;73110;;73110
CHAIRMAN LAU LTD;EH7 4NL;62020;;"62020
62090
63110
73110"
SPELLCASTER UK LTD;EH41 3PX;62020;;"62020
70210
73110
74100"
THE SOCIAL MEDIA BUSINESS GUIDE LTD;EH26 0JS;73110;;73110
LUCRATIV CAREERS LTD;EH11 2JG;73110;;73110
RATOLINA LTD;EH7 5TE;73110;;73110
BECAUSE BRANDS MATTER (STRATEGY) LTD;EH3 6RY;73110;;73110
DIA MEDIA LIMITED;EH6 7BD;73120;;73120
CLEAR CLICK LTD;EH9 2NN;73110;;73110
YOGA MARKETING LIMITED;EH7 4JE;70229;;"70229
73110"
DROPKICK PR LTD;EH3 6EZ;73110;;73110
DEEPBASS LTD;EH32 9PR;47910;;"47910
73110
73200"
CUCKOO HILL MEDIA LTD;EH26 8LH;62020;;"62020
63120
73110"
FGD STUDIO LIMITED;EH3 6RE;73110;;"73110
74100
74201
82990"
CAR MEDIA LTD;EH4 3NG;73110;;73110
DERMA DIGITAL LTD;EH5 2NH;73110;;73110
BEER PRESSURED LTD;EH7 5QP;73110;;73110
SCORPION COMMUNICATION LIMITED;EH48 2GN;73110;;73110
ADDITIVE PERSONALISATION LIMITED;EH4 2BZ;73110;;73110
DROPKICK COPY LTD;EH3 6EZ;73110;;73110
