Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
RAY INTERACTIVE LTD;EH3 5QP;74100;74100;
GLCC LIMITED;EH1 2DP;74100;74100;
ASHLEY O'NEILL LIMITED;EH15 2RE;74100;74100;
CB GLOBAL CONSULTANCY LTD;EH3 9GE;71121;"71121
72190
74100
74300";
THE FREE COMPANY SCO LIMITED;EH14 7HZ;74100;74100;
HMJR IC LAYOUT DESIGN LTD;EH52 5RB;71122;"71122
74100
74909";
DPOINT LIMITED;EH6 6PG;47910;"47910
74100
90030";
ROBBIE HENDERSON DESIGN LIMITED;EH10 4AR;74100;74100;
LIVE WALLS LTD;EH22 2NJ;18129;"18129
74100";
FROCKS SCOTLAND LIMITED;EH7 5LA;14190;14190;
ID GRAPHICS SCOTLAND LTD;EH48 2GE;74100;74100;
TWOFIFTHS DESIGN LTD.;EH3 6TE;74100;74100;
MNB NETWORKS LTD;EH54 7DE;74100;"74100
74909";
TIGHT-KNIT YARN LTD;EH6 5LQ;13910;13910;
MD EVENT DESIGN & DELIVERY LTD;EH7 4HG;74100;74100;
WILL GRINDALL DESIGN LTD;EH15 1RF;74100;74100;
LEYELESI LIMITED;EH5 2GL;14190;14190;
BYSPEL LTD;EH15 1DD;74100;74100;
