Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
RED FLARE LIMITED;EH12 5SB;62020;"58190
59112
62020";
JS MEDIA CORPORATION LIMITED;EH2 4JN;73110;"58190
59111
73110";
BMK PICTURES LIMITED;EH3 6AT;59120;59120;
YARDHEADS LTD;EH6 8PW;59111;"59111
78101
90020
90030";
STREETLANE MEDIA LTD;EH54 6AX;59112;59112;
HAILSTONE FILMS LIMITED;EH3 6JN;59111;"59111
59112
59113";
MELT THE FLY LTD;EH6 4DD;59112;"59112
59113";
IMMAGINE PRODUCTIONS LIMITED;EH15 2AJ;59112;"59112
59113
59120";
TMESIS MEDIA LTD;EH51 9LZ;59111;"59111
59113";
CALUM SINCLAIR LIMITED;EH16 4GG;74100;"59111
62012
74100";
LEITH FILMS LTD;EH7 5EF;59112;59112;
SCHIZOTYPY GAME DEVELOPMENT LIMITED;EH2 1DF;59112;"59112
62011";
THE STORYTELLING LTD;EH32 9FQ;59112;59112;
BASS ROCK FILMS LTD;EH11 1DP;59111;59111;
CUSTOM FLAVOUR LTD;EH3 6RE;59112;"59112
59120
59132";
TONGUE TIED FILMS LTD;EH11 1HN;59111;59111;
WHITE SQUIRREL LTD;EH29 9DJ;59112;"59112
70229
74209";
BRAW VFX LTD;EH6 8RG;59111;"59111
59120";
LOCH LOMOND MEDIA LTD;EH24AT;59112;"59112
73110
74202";
SKYZ THE LIMIT LIMITED;EH9 1PL;59111;"59111
59113";
HORSEFILM LIMITED;EH3 9DF;59111;59111;www.rogiepogie.com
OSSIAN PICTURES LIMITED;EH7 6TX;59111;59111;
ARUNA PRODUCTIONS LTD;EH3 6RE;59111;"59111
59112
59113
59120";
STONED BONED SOBER PRODUCTIONS LIMITED;EH3 9BE;59111;"59111
59112
59120
59132";
REDPATH PRODUCTIONS LTD;EH6 6DA;59120;59120;
GETGO STUDIO LTD;EH30 9AF;59112;59112;
MAGIC EGG PRODUCTIONS CIC;EH3 6RD;59112;59112;
ALLIANCE MEDIA PARTNERS NORTH LIMITED;EH2 4AT;59112;59112;
SURE FILMS LIMITED;EH5 3PQ;59111;59111;
SCREEN LANGUAGE LTD;EH2 3JG;59112;59112;
LYON'S SHARE CONSULTING LTD;EH9 1PB;59111;"59111
70229";
PUSH MEDIA LIMITED;EH34 5HQ;59112;"59112
74202";
PARCEL OF ROGUES LTD;EH3 6RH;59111;"59111
59113";
CREATEGREG LTD;EH6 7NY;59112;"59112
74209";
JUST PIXELATE LIMITED;EH1 3QB;59112;"59112
74100
74202";
HIGHLAND COW PRODUCTIONS LTD;EH20 9NX;59111;59111;
PATRICK PICTURES LTD;EH6 6RR;59120;59120;
HELMWORKS FILM LTD;EH22 1DS;59111;"59111
59112
59120";
DEVIL MAY CARE ENTERTAINMENT LTD;EH9 3EE;59111;"59111
59113";
UP HERE MEDIA LTD;EH2 1EN;59112;59112;
HEY DAISY MOON PRODUCTIONS LTD;EH10 6DP;59111;59111;
EPOCH AV LTD;EH48 2SH;59112;59112;
WIDESHOT LTD;EH3 6PW;59112;"59112
59113";
LOVELY LOVELY LTD;EH5 1RT;59112;"59112
90030";
FUTURE TENSE LIMITED;EH4 5BF;59111;59111;
JUNCTION KTF LIMITED;EH5 2GL;59111;59111;
ODD FOX MEDIA LTD;EH6 8PJ;59112;59112;
STREAM DIGITAL LTD;EH54 9DF;59112;"59112
59120
62030";
