Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
PACE PRINT (EDINBURGH) LIMITED;EH8 9JD;18129;"18121
18129
18140";www.paceprint.co.uk
KMLC LIMITED;EH29 9HE;90030;90030;
J.M.K. BUSINESS SUPPLIES LIMITED;EH49 7SF;18129;18129;www.jmkprinting.co.uk
LEVDERT LIMITED;EH2 4AD;90030;90030;
DIONYSIA PRESS LIMITED;EH15 1JG;58142;58142;
GRANGE COMMUNICATIONS LIMITED;EH3 6QH;58190;58190;www.grangecommunications.co.uk
FORESTRY PUBLICATIONS LIMITED;EH2 2JG;58141;58141;
THE GLASGOW SHOOT LIMITED;EH52 5SB;58110;58110;
WAR PRODUCTIONS LIMITED;EH1 3RS;90030;90030;www.warpro.co.uk
HAMILTON DESIGN LIMITED;EH3 7PE;90030;90030;www.hamiltondesignltd.com
DORICMOR LIMITED;EH5 1QT;18129;18129;www.doricmor.com
AKA BOOKS CO-OPERATIVE LTD.;EH6 7BN;58110;"47910
58110";https://akuk.com
CAIQUE PUBLISHING LIMITED;EH3 8EY;58142;58142;www.cornucopia.net
BIRLINN LIMITED;EH9 1QS;58110;58110;www.birlinn.co.uk
COLORPRINZ LIMITED;EH3 7BD;18129;18129;
THE MEMORABILIA PACK COMPANY LIMITED;EH1 3LH;58190;58190;www.mempackcompany.com
EDINBURGH HOUSE PUBLISHING LIMITED;EH4 1PX;58142;58142;www.ycf.co.uk
KIRK ENTERPRISES LIMITED;EH54 7DE;62030;"13100
56210
62030
90030";
B&W PUBLISHING LIMITED;EH6 6NF;58110;58110;www.blackandwhitepublishing.com
WORD OF MOUTH COMMUNICATION LIMITED;EH5 3LR;58142;58142;www.wordofmouth.co.uk
THE EDINBURGH MELA LIMITED;EH1 3LH;90010;"90010
90020
90030";www.edinburgh-mela.co.uk
CLAYTARA LIMITED;EH7 5HT;90030;"62020
90030";
CAST CONSULTANCY LIMITED;EH3 6AJ;62012;"58110
62012";
CONNECTWORKS LIMITED;EH3 7HF;58190;58190;www.connectworks.co.uk
CATYANS LIMITED;EH6 5NX;18129;18129;
KRP LIMITED;EH3 7TZ;58142;58142;
BARRINGTON STOKE LIMITED;EH3 7LP;58110;58110;www.barringtonstoke.co.uk
NMS ENTERPRISES LIMITED;EH1 1JF;58110;"47910
58110";www.nms.ac.uk
ENVIRONMENTAL STANDARD INDEXES LTD;EH6 6QH;82990;"58142
58190
63110
82990";www.esi.info
CARNYX & CO.;EH19 2AA;90030;90030;
POSITIVE REWARDS LIMITED;EH5 3RN;86900;"58190
59200
85422
86900";www.positiverewards.com
ZERO DESIGN LIMITED;EH3 6RS;90030;90030;www.designedbyzero.com
BENCHMARK MEDIA LIMITED;EH3 6QH;58190;58190;www.benchmarkpr.co.uk
SCOTSHIRTS LIMITED;EH11 4DY;18129;18129;www.scotshirts.com
RAYPROGRAPHICS LIMITED;EH7 6AE;18129;18129;www.rayprographics.co.uk
BIOZONE LEARNING MEDIA (UK) LIMITED;EH6 7BD;58141;58141;www.biozone.co.uk
CROSS COUNTRY INTERNATIONAL LIMITED;EH3 8EJ;58190;58190;www.xcshop.com
BLACK & WHITE PUBLISHING LIMITED;EH6 6NF;58110;"58110
58190";www.blackandwhitepublishing.com
DIGITAL TYPELINE PUBLICATIONS LIMITED;EH7 6UL;18129;18129;www.dtp.co.uk
THE EDINBURGH COPY SHOP LIMITED;EH1 1SX;18129;18129;www.edinburghcopyshop.co.uk
DEBI GLIORI LIMITED;EH41 4NW;90030;90030;
COCKBURN PUBLISHING LIMITED;EH3 8HE;58190;58190;http://info13012.wixsite.com
CEILIDH CLUB LTD.;EH16 4SN;90030;90030;
GOLFALOT LIMITED;EH10 7DS;58190;58190;www.golfalot.com
ART AND PAPER LTD;EH2 4PS;90030;90030;
ACTING UP LIMITED;EH1 3HP;90030;"59112
85590
90030";www.actingup.co.uk
JOHN REBUS LIMITED;EH3 6AJ;90030;90030;
SPLAT PUBLISHING LIMITED;EH5 1EX;58142;"58110
58142";
MEAD KERR LTD.;EH3 6AT;90030;90030;www.meadkerr.com
ADRIAN MEAD LTD.;EH6 8ED;90030;90030;
