Company name;Postcode;Secondary UK SIC (2007) codes;Primary UK SIC (2007) code
JAYWARE SOLUTIONS LTD;KY11 2JN;62020;62020
FIG TREE SOFTWARE LIMITED;KY11 8HX;62012;62012
RB PROJECT SOLUTIONS LTD;KY11 8ZW;62020;62020
JOCK TAMSON (EDINBURGH) LTD;KY1 1BJ;47610;47610
PORTERFIELD IT LTD;KY12 9HD;62020;62020
ANGUS ALLAN LIMITED;KY4 9BF;62020;62020
SONAS PROJECTS LTD;KY2 5UX;62020;62020
A S V INFO SOLUTIONS LTD;KY11 8JB;62020;62020
JJS FINANCIAL SERVICES LTD;KY12 7AG;62020;62020
ETHAX LTD;KY11 9YU;62012;62012
ADAMS DIGITAL LIMITED;KY11 8AX;62020;62020
ACC-SYS LIMITED;KY1 4AY;62020;62020
THE MOBILE DEVELOPER LTD;KY11 2BW;62012;62012
SYBERPLUS LIMITED;KY11 2HN;62020;62020
BAYCOP LIMITED;KY11 2HN;62020;62020
J HUNKIN SERVICES LTD;KY12 0XZ;62020;62020
FUSE MOBILITY LTD;KY6 2AH;62012;62012
TEKNON SOLUTIONS LTD;KY11 9GG;62020;62020
COOPER PROSCOPE LIMITED;KY11 9NB;62012;62012
IGA SOLUTIONS LTD;KY11 9YG;62020;62020
FC LABORATORIES LTD;KY12 7QL;62012;62012
T CURRAN CONSULTANCY LIMITED;KY1 2NT;62020;62020
DACHSHUND GROUP LIMITED;KY2 6JL;62012;62012
IDBE LABS LTD;KY11 8YY;62012;62012
AXILE LTD;KY11 9GG;62020;62020
ARBUTHNOTT LTD;KY12 7TP;62020;62020
DIFFERENT MINDSET LIMITED;KY4 9JZ;62020;62020
GARVIESYSTEMS LTD;KY3 0BU;62020;62020
ECLIPTECH LTD;KY11 9SE;26110;26110
GAZTECH LTD;KY11 9SE;26400;26400
STEVEN LYALL LTD;KY11 9PF;62020;62020
ELEYWOOD LTD;KY12 8HL;62020;62020
TEAL RAM LIMITED;KY11 9PF;62020;62020
"ROBERT'); DROP TABLE STUDENTS; LIMITED";KY1 3NB;62020;62020
DIGITAL REFLECTIONS LTD;KY12 7QQ;62012;62012
GANS CARGO OPERATIONS LTD;KY11 2JT;62012;62012
TECHNATRO LTD;KY6 2DR;62012;62012
GWFMB LTD;KY4 9JB;62012;62012
JTD CONSULTANCY LTD;KY6 3QE;62020;62020
MACK TECHNOLOGY SOLUTIONS LTD;KY7 4QN;62020;62020
ARTIFICIAL TECH LIMITED;KY12 0UT;58290;58290
POSITIVE CHALLENGES LTD;KY12 7EY;58290;58290
ZENVO LTD;KY11 9UN;58290;58290
